case_id,expected_fault,ai_root_cause,matches_expected,human_decision,human_root_cause,review_notes,approved_next_command,approved_fix_steps
NET-001,Sub-interface administratively down,Sub-interface administratively down,True,Accepted,Sub-interface administratively down,AI diagnosis matches the expected fault and cites case evidence.,show ip interface brief,Enable and correctly configure the router sub-interface or SVI. | Verify VLAN tagging and the gateway address.
NET-002,DHCP Scope Pool Exhaustion,DHCP Scope Pool Exhaustion,True,Accepted,DHCP Scope Pool Exhaustion,AI diagnosis matches the expected fault and cites case evidence.,show ip dhcp binding,Correct the DHCP scope or relay configuration. | Clear stale leases only if necessary after review.
NET-003,DNS service disabled on client subnet gateway,Upstream DNS server unreachable,False,Edited,DNS service disabled or unavailable for the client subnet gateway.,AI focused on reachability but missed the configuration evidence showing DNS is not active.,show running-config | include name-server,Correct the configured DNS service or name-server entry. | Retest name resolution from the affected client.
NET-004,OSPF Hello Timer Mismatch,OSPF Hello Timer Mismatch,True,Accepted,OSPF Hello Timer Mismatch,AI diagnosis matches the expected fault and cites case evidence.,show ip ospf neighbor,Align OSPF parameters on neighbors or fix route advertisement. | Verify adjacency and learned routes.
NET-005,Extended ACL blocking HTTP traffic,Extended ACL blocking HTTP traffic,True,Accepted,Extended ACL blocking HTTP traffic,AI diagnosis matches the expected fault and cites case evidence.,show access-lists,Update the ACL to permit required traffic and deny only the intended flows. | Apply the ACL in the correct interface direction.
NET-006,NAT Overload/PAT keyword missing,NAT Overload/PAT keyword missing,True,Accepted,NAT Overload/PAT keyword missing,AI diagnosis matches the expected fault and cites case evidence.,show ip nat translations,Correct NAT statements and inside/outside interface roles. | Retest translation from an inside client.
NET-007,Overly permissive ACL on Guest VLAN,Guest Wi-Fi VLAN mapped to the wrong SSID,False,Edited,Guest VLAN ACL is overly permissive and allows access to internal servers.,The SSID mapping was not proven; the ACL line is direct evidence.,show access-lists GUEST_ACL,Restrict guest access to internal networks. | Permit only approved guest outbound traffic.
NET-008,VLAN pruned/missing from trunk allowed list,VLAN pruned/missing from trunk allowed list,True,Accepted,VLAN pruned/missing from trunk allowed list,AI diagnosis matches the expected fault and cites case evidence.,show interfaces trunk,"Correct trunk mode, native VLAN, and allowed VLAN settings. | Verify the VLAN is carried across the trunk."
NET-009,Host Default Gateway IP Misconfiguration,Host Default Gateway IP Misconfiguration,True,Accepted,Host Default Gateway IP Misconfiguration,AI diagnosis matches the expected fault and cites case evidence.,ipconfig /all,Correct the configuration causing: Host Default Gateway IP Misconfiguration. | Verify connectivity after the change.
NET-010,Management SVI interface in shutdown state,Management SVI interface in shutdown state,True,Accepted,Management SVI interface in shutdown state,AI diagnosis matches the expected fault and cites case evidence.,show ip interface brief,Correct the configuration causing: Management SVI interface in shutdown state. | Verify connectivity after the change.
NET-011,Inter-switch link configured as access instead of trunk,Inter-switch link configured as access instead of trunk,True,Accepted,Inter-switch link configured as access instead of trunk,AI diagnosis matches the expected fault and cites case evidence.,show interfaces trunk,"Correct trunk mode, native VLAN, and allowed VLAN settings. | Verify the VLAN is carried across the trunk."
NET-012,Passive interface enabled on active OSPF link,Passive interface enabled on active OSPF link,True,Accepted,Passive interface enabled on active OSPF link,AI diagnosis matches the expected fault and cites case evidence.,show ip ospf neighbor,Align OSPF parameters on neighbors or fix route advertisement. | Verify adjacency and learned routes.
NET-013,Switch port assigned to wrong access VLAN,Switch port assigned to wrong access VLAN,True,Accepted,Switch port assigned to wrong access VLAN,AI diagnosis matches the expected fault and cites case evidence.,show vlan brief,Correct the configuration causing: Switch port assigned to wrong access VLAN. | Verify connectivity after the change.
NET-014,Missing IP Helper-Address for DHCP Relay,DHCP server pool exhausted,False,Edited,Missing ip helper-address on the branch gateway interface.,AI reused a common DHCP answer even though relay evidence points to the router interface.,show ip dhcp binding,Correct the DHCP scope or relay configuration. | Clear stale leases only if necessary after review.
NET-015,Invalid static route next-hop IP address,Invalid static route next-hop IP address,True,Accepted,Invalid static route next-hop IP address,AI diagnosis matches the expected fault and cites case evidence.,show ip route,Correct the configuration causing: Invalid static route next-hop IP address. | Verify connectivity after the change.
NET-016,ACL missing FTP control port 21 permit rule,ACL missing FTP control port 21 permit rule,True,Accepted,ACL missing FTP control port 21 permit rule,AI diagnosis matches the expected fault and cites case evidence.,show access-lists,Update the ACL to permit required traffic and deny only the intended flows. | Apply the ACL in the correct interface direction.
NET-017,NAT interface direction missing on internal interface,NAT interface direction missing on internal interface,True,Accepted,NAT interface direction missing on internal interface,AI diagnosis matches the expected fault and cites case evidence.,show ip nat translations,Correct NAT statements and inside/outside interface roles. | Retest translation from an inside client.
NET-018,RADIUS Shared Secret Mismatch,Wireless signal interference causing authentication failures,False,Rejected,RADIUS shared secret mismatch.,The diagnosis ignored the explicit incorrect_secret_key evidence.,show wlan summary,Correct wireless authentication settings. | Retest client association and authentication.
NET-019,Native VLAN Mismatch on trunk link,Native VLAN Mismatch on trunk link,True,Accepted,Native VLAN Mismatch on trunk link,AI diagnosis matches the expected fault and cites case evidence.,show interfaces trunk,"Correct trunk mode, native VLAN, and allowed VLAN settings. | Verify the VLAN is carried across the trunk."
NET-020,Default Gateway outside client subnet range,Default Gateway outside client subnet range,True,Accepted,Default Gateway outside client subnet range,AI diagnosis matches the expected fault and cites case evidence.,ipconfig /all,Correct the configuration causing: Default Gateway outside client subnet range. | Verify connectivity after the change.
NET-021,OSPF redistribution missing subnets flag,EIGRP neighbor down,False,Edited,OSPF redistribution is missing the subnets keyword.,"The case is about route redistribution, not neighbor formation.",show ip ospf neighbor,Align OSPF parameters on neighbors or fix route advertisement. | Verify adjacency and learned routes.
NET-022,ACL blocking SSL/TLS port 443,ACL blocking SSL/TLS port 443,True,Accepted,ACL blocking SSL/TLS port 443,AI diagnosis matches the expected fault and cites case evidence.,show access-lists,Update the ACL to permit required traffic and deny only the intended flows. | Apply the ACL in the correct interface direction.
NET-023,Duplicate IP Address Assignment,Duplicate IP Address Assignment,True,Accepted,Duplicate IP Address Assignment,AI diagnosis matches the expected fault and cites case evidence.,ipconfig /all,Correct the configuration causing: Duplicate IP Address Assignment. | Verify connectivity after the change.
NET-024,VTP Domain Name Mismatch ,Trunk encapsulation mismatch,False,Rejected,VTP domain name mismatch.,AI selected a Layer 2 trunking issue but the evidence shows a VTP domain mismatch.,show vtp status,Correct the configuration causing: VTP domain name mismatch.. | Verify connectivity after the change.
NET-025,Uplink trunk port not configured as DAI trusted,Uplink trunk port not configured as DAI trusted,True,Accepted,Uplink trunk port not configured as DAI trusted,AI diagnosis matches the expected fault and cites case evidence.,show ip arp inspection,Correct the configuration causing: Uplink trunk port not configured as DAI trusted. | Verify connectivity after the change.
NET-026,Port security violation limit exceeded,Port security violation limit exceeded,True,Accepted,Port security violation limit exceeded,AI diagnosis matches the expected fault and cites case evidence.,show port-security interface,Correct the configuration causing: Port security violation limit exceeded. | Verify connectivity after the change.
NET-027,HSRP Timer Mismatch between peers,HSRP Timer Mismatch between peers,True,Accepted,HSRP Timer Mismatch between peers,AI diagnosis matches the expected fault and cites case evidence.,show standby brief,Correct the configuration causing: HSRP Timer Mismatch between peers. | Verify connectivity after the change.
NET-028,Missing 802.1Q encapsulation on sub-interface,Missing 802.1Q encapsulation on sub-interface,True,Accepted,Missing 802.1Q encapsulation on sub-interface,AI diagnosis matches the expected fault and cites case evidence.,show ip interface brief,Enable and correctly configure the router sub-interface or SVI. | Verify VLAN tagging and the gateway address.
NET-029,IPv6 Router Advertisements (RA) suppressed,IPv6 Router Advertisements (RA) suppressed,True,Accepted,IPv6 Router Advertisements (RA) suppressed,AI diagnosis matches the expected fault and cites case evidence.,show ipv6 interface,Correct the configuration causing: IPv6 Router Advertisements (RA) suppressed. | Verify connectivity after the change.
NET-030,CDP disabled globally on device,CDP disabled globally on device,True,Accepted,CDP disabled globally on device,AI diagnosis matches the expected fault and cites case evidence.,show cdp neighbors,Correct the configuration causing: CDP disabled globally on device. | Verify connectivity after the change.
