case_id,root_cause,confidence,osi_layer,evidence,next_command,fix_steps,verification,human_review_required,response_json
NET-001,Sub-interface administratively down,0.91,Layer 3,"[""GigabitEthernet0/0.10 is administratively down line protocol is down""]",show ip interface brief,"[""Enable and correctly configure the router sub-interface or SVI."", ""Verify VLAN tagging and the gateway address.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-001"", ""confidence"": 0.91, ""evidence"": [""GigabitEthernet0/0.10 is administratively down line protocol is down""], ""fix_steps"": [""Enable and correctly configure the router sub-interface or SVI."", ""Verify VLAN tagging and the gateway address.""], ""human_review_required"": true, ""next_command"": ""show ip interface brief"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Sub-interface administratively down"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-002,DHCP Scope Pool Exhaustion,0.91,Layer 7,"[""ip dhcp pool LAN_POOL; total addresses 10; leased 10; zero available""]",show ip dhcp binding,"[""Correct the DHCP scope or relay configuration."", ""Clear stale leases only if necessary after review.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-002"", ""confidence"": 0.91, ""evidence"": [""ip dhcp pool LAN_POOL; total addresses 10; leased 10; zero available""], ""fix_steps"": [""Correct the DHCP scope or relay configuration."", ""Clear stale leases only if necessary after review.""], ""human_review_required"": true, ""next_command"": ""show ip dhcp binding"", ""osi_layer"": ""Layer 7"", ""root_cause"": ""DHCP Scope Pool Exhaustion"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-003,Upstream DNS server unreachable,0.84,Layer 7,"[""no ip domain-lookup; ip name-server 192.168.1.5 not active""]",show running-config | include name-server,"[""Correct the configured DNS service or name-server entry."", ""Retest name resolution from the affected client.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-003"", ""confidence"": 0.84, ""evidence"": [""no ip domain-lookup; ip name-server 192.168.1.5 not active""], ""fix_steps"": [""Correct the configured DNS service or name-server entry."", ""Retest name resolution from the affected client.""], ""human_review_required"": true, ""next_command"": ""show running-config | include name-server"", ""osi_layer"": ""Layer 7"", ""root_cause"": ""Upstream DNS server unreachable"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-004,OSPF Hello Timer Mismatch,0.91,Layer 3,"[""R1: ip ospf hello-interval 10; R2: ip ospf hello-interval 20""]",show ip ospf neighbor,"[""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-004"", ""confidence"": 0.91, ""evidence"": [""R1: ip ospf hello-interval 10; R2: ip ospf hello-interval 20""], ""fix_steps"": [""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""], ""human_review_required"": true, ""next_command"": ""show ip ospf neighbor"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""OSPF Hello Timer Mismatch"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-005,Extended ACL blocking HTTP traffic,0.84,Layer 4,"[""access-list 101 deny tcp 192.168.10.0 0.0.0.255 host 10.0.0.10 eq 80""]",show access-lists,"[""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-005"", ""confidence"": 0.84, ""evidence"": [""access-list 101 deny tcp 192.168.10.0 0.0.0.255 host 10.0.0.10 eq 80""], ""fix_steps"": [""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""], ""human_review_required"": true, ""next_command"": ""show access-lists"", ""osi_layer"": ""Layer 4"", ""root_cause"": ""Extended ACL blocking HTTP traffic"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-006,NAT Overload/PAT keyword missing,0.91,Layer 3,"[""ip nat inside source list 1 interface Gi0/1 (missing overload keyword)""]",show ip nat translations,"[""Correct NAT statements and inside/outside interface roles."", ""Retest translation from an inside client.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-006"", ""confidence"": 0.91, ""evidence"": [""ip nat inside source list 1 interface Gi0/1 (missing overload keyword)""], ""fix_steps"": [""Correct NAT statements and inside/outside interface roles."", ""Retest translation from an inside client.""], ""human_review_required"": true, ""next_command"": ""show ip nat translations"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""NAT Overload/PAT keyword missing"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-007,Guest Wi-Fi VLAN mapped to the wrong SSID,0.91,Layer 3/4,"[""Extended IP access list GUEST_ACL: 10 permit ip 192.168.50.0 0.0.0.255 any""]",show access-lists GUEST_ACL,"[""Restrict guest access to internal networks."", ""Permit only approved guest outbound traffic.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-007"", ""confidence"": 0.91, ""evidence"": [""Extended IP access list GUEST_ACL: 10 permit ip 192.168.50.0 0.0.0.255 any""], ""fix_steps"": [""Restrict guest access to internal networks."", ""Permit only approved guest outbound traffic.""], ""human_review_required"": true, ""next_command"": ""show access-lists GUEST_ACL"", ""osi_layer"": ""Layer 3/4"", ""root_cause"": ""Guest Wi-Fi VLAN mapped to the wrong SSID"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-008,VLAN pruned/missing from trunk allowed list,0.84,Layer 2,"[""Switchport trunk allowed vlan 10 30 40 (VLAN 20 missing from allowed list)""]",show interfaces trunk,"[""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-008"", ""confidence"": 0.84, ""evidence"": [""Switchport trunk allowed vlan 10 30 40 (VLAN 20 missing from allowed list)""], ""fix_steps"": [""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""], ""human_review_required"": true, ""next_command"": ""show interfaces trunk"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""VLAN pruned/missing from trunk allowed list"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-009,Host Default Gateway IP Misconfiguration,0.91,Layer 3,"[""IP configuration shows Default Gateway 192.168.1.254 on Host""]",ipconfig /all,"[""Correct the configuration causing: Host Default Gateway IP Misconfiguration."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-009"", ""confidence"": 0.91, ""evidence"": [""IP configuration shows Default Gateway 192.168.1.254 on Host""], ""fix_steps"": [""Correct the configuration causing: Host Default Gateway IP Misconfiguration."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""ipconfig /all"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Host Default Gateway IP Misconfiguration"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-010,Management SVI interface in shutdown state,0.76,Layer 2,"[""interface Vlan1; ip address 192.168.1.2 255.255.255.0; shutdown""]",show ip interface brief,"[""Correct the configuration causing: Management SVI interface in shutdown state."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-010"", ""confidence"": 0.76, ""evidence"": [""interface Vlan1; ip address 192.168.1.2 255.255.255.0; shutdown""], ""fix_steps"": [""Correct the configuration causing: Management SVI interface in shutdown state."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show ip interface brief"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Management SVI interface in shutdown state"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
